term,abastecimiento_de_agua,abastecimiento_por_empresas_privadas,abono,afectaciones_por_inundaciones,agua_tratada_de_iztapalapa_plantas,asentamientos_humanos_irregulares_y_regulares,atencion_medica,basura_en_alcantarillado,basura_solida_en_barrancas,basura_solida_en_cuerpos_de_agua,bien_negociable,biodiversidad,calidad_de_agua,calidad_de_vida,cambio_de_uso_de_suelo,capacidad_de_cuerpos_de_agua,capacidad_para_almacenar_agua,capacitacion_agroecologica,captacion_de_agua_de_lluvia,clientelismo,cobertura_vegetacion_natural,comercio_sin_regulacion,compra_de_garrafones,compuertas_y_valvulas,conexiones_clandestinas_de_agua,confiabilidad_en_energia_electrica,conflictos_por_agua,conservacion_ecosistema_chinampero,construccion_de_obra_nueva,construccion_de_viviendas_en_zonas_de_riesgo,consumo_de_agua_en_vivienda,contacto_directo_con_el_agua_de_drenaje_agua_de_inundacion,contaminacion_biologica_animales,contaminacion_cruzada,contaminacion_de_agua_potable,contaminacion_de_cuerpos_de_agua,contaminantes_agricolas,coordinacion_interinstitucional,corrupcion,crecimiento_de_la_poblacion,crecimiento_expansivo_y_disperso,crecimiento_urbano,cultivos_alternativos_organicos,danos_a_la_salud,deforestacion,demanda_de_agua_potable,demanda_de_vivienda,denuncias_ciudadanas,desalojo,desbordamiento,descarga_de_aguas_negras,desecacion_de_manantiales_y_ojos_de_agua,desnivel,desperdicio_de_agua,desviacion_de_agua,dezasolve,dotacion_de_agua_por_red,dotacion_por_pipas,dotacion_por_tandeo,drenaje_clandestino,edad_de_la_infraestructura,educacion_ambiental,eficacia_en_la_ejecucion_de_proyectos,erosion,escasez_de_agua,esclusas,escurrimiento,estiaje,expansion_sobre_suelo_de_conservacion,extraccion_de_agua_del_subsuelo_pozos,falta_de_abastecimiento,falta_de_cultura_conciencia,falta_de_drenaje,falta_de_espacio_para_la_vivienda,falta_de_fuentes_locales_de_agua,falta_de_funcion_de_la_planta_de_tratamiento,falta_de_informacion_,falta_de_interes_de_la_poblacion_joven,falta_de_mantenimiento_de_la_infraestructura,falta_de_planeacion_urbana,falta_de_presion,falta_de_servicios_urbanos,falta_de_servicios_y_programas_de_basura,fugas,gaviones,grietas,hundimientos,importacion_de_agua_del_cutzamala,infraestructura_ineficiente,infraestructura_insuficiente,inseguridad_social,intensidad_de_actividades_turisticas,inundaciones,inversion_en_infraestructura,lago_de_xochimilco,ley_de_derecho_humano_al_agua,limpieza_de_canales_lirio,lluvias,manejo_sectorial_de_drenaje,manejo_y_gestion_de_sacmex,mantenimiento_de_plantas_de_tratamiento,medidas_preventivas,mesas_de_trabajo,microclima,modificaciones_a_la_vivienda,movilizaciones,movimiento_tectonico,nivel_del_agua_canales,nivel_de_vigilancia,numero_de_viviendas,obstruccion_de_alcantarillado,pago_por_danos_ambientales,paticipacion_en_actividades_primarias,pendiente,perdida_de_identidad,perdida_de_zonas_agricolas,perforacion_de_pozos,pipas,planes_de_manejo,planes_de_manejo_comunitario,poblacion_inmigrante,politicas_de_desarrollo_social,precio_de_la_produccion_agricola,presion_a_la_delegacion_peticion_reclamo,problemas_de_movilidad_sistema_de_transporte,problemas_en_abastecimiento,produccion_agricola_chinampa,productores_chinamperos,propuestas_alternativas_ecotecnias,rebombeo_de_agua,recursos_financieros,recursos_institucionales_invertidos,reforestacion,regularizacion,relleno_de_canales,reparaciones,reutilizar_el_agua,rivalidad_politica_partidista,sanciones_legales,servicios_ambientales,sistema_de_condonacion,solidaridad_vecinal,tasa_de_infiltracion,tenencia_de_la_tierra,tilapia_depredador,uso_de_agua_de_manantial,variabilidad_climatica,venta_de_terreno,zona_cerril,zona_lacustre
abastecimiento_de_agua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abastecimiento_por_empresas_privadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abono,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
afectaciones_por_inundaciones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agua_tratada_de_iztapalapa_plantas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asentamientos_humanos_irregulares_y_regulares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atencion_medica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
basura_en_alcantarillado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
basura_solida_en_barrancas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
basura_solida_en_cuerpos_de_agua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
