cause,effect,frequency
Decisiones políticas e intereses clientelares,Crecimiento urbano desordenado,1
Decisiones políticas e intereses clientelares,Ocupación del suelo de conservación,1
Decisiones políticas e intereses clientelares,Coacción y control político del agua,1
Decisiones políticas e intereses clientelares,Falta de información técnica y transparencia,1
Crecimiento urbano desordenado,Ocupación del suelo de conservación,1
Ocupación del suelo de conservación,Disminución de la recarga de acuíferos,1
Disminución de la recarga de acuíferos,Sobreexplotación del acuífero,1
Sobreexplotación del acuífero,Hundimiento del suelo,1
Infraestructura hidráulica obsoleta,Fugas y pérdidas de agua,1
Fugas y pérdidas de agua,Escasez de agua,1
Escasez de agua,Trasvase de agua de cuencas vecinas,1
Trasvase de agua de cuencas vecinas,Protestas y conflictos sociales,1
Coacción y control político del agua,Suministro de agua por tandeo y pipas,1
Suministro de agua por tandeo y pipas,Desigualdad en la dotación de agua,1
Falta de información técnica y transparencia,Ineficiencia en la medición y cobro del agua,1
Concesiones e inversión privada,Corrupción en servicios urbanos,1
Corrupción en servicios urbanos,Infraestructura hidráulica obsoleta,1
