interview_id,sector,delegation,activity,variable
DF012815_ACA,Académico,Ciudad de México (gobierno),int,Crecimiento urbano desordenado
DF012815_ACA,Académico,Ciudad de México (gobierno),int,Ocupación del suelo de conservación
DF012815_ACA,Académico,Ciudad de México (gobierno),int,Decisiones políticas e intereses clientelares
DF012815_ACA,Académico,Ciudad de México (gobierno),int,Disminución de la recarga de acuíferos
DF012815_ACA,Académico,Ciudad de México (gobierno),int,Sobreexplotación del acuífero
DF012815_ACA,Académico,Ciudad de México (gobierno),int,Hundimiento del suelo
DF012815_ACA,Académico,Ciudad de México (gobierno),int,Infraestructura hidráulica obsoleta
DF012815_ACA,Académico,Ciudad de México (gobierno),int,Fugas y pérdidas de agua
DF012815_ACA,Académico,Ciudad de México (gobierno),int,Escasez de agua
DF012815_ACA,Académico,Ciudad de México (gobierno),int,Trasvase de agua de cuencas vecinas
DF012815_ACA,Académico,Ciudad de México (gobierno),int,Protestas y conflictos sociales
DF012815_ACA,Académico,Ciudad de México (gobierno),int,Coacción y control político del agua
DF012815_ACA,Académico,Ciudad de México (gobierno),int,Suministro de agua por tandeo y pipas
DF012815_ACA,Académico,Ciudad de México (gobierno),int,Desigualdad en la dotación de agua
DF012815_ACA,Académico,Ciudad de México (gobierno),int,Falta de información técnica y transparencia
DF012815_ACA,Académico,Ciudad de México (gobierno),int,Ineficiencia en la medición y cobro del agua
DF012815_ACA,Académico,Ciudad de México (gobierno),int,Concesiones e inversión privada
DF012815_ACA,Académico,Ciudad de México (gobierno),int,Corrupción en servicios urbanos
