Tala clandestina,Deforestación
Deforestación,Disminución del gasto de los manantiales
Urbanización y crecimiento de la mancha urbana,Pavimentación y pérdida de infiltración
Pavimentación y pérdida de infiltración,Capacidad de recarga de acuíferos
Capacidad de recarga de acuíferos,Disminución del gasto de los manantiales
Fugas por tuberías obsoletas,Desperdicio de agua
Sustitución de tuberías,Fugas por tuberías obsoletas
Conflictos sociales y desconfianza vecinal,Sustitución de tuberías
Lluvias y arrastre de basura,Obstrucción de plantas potabilizadoras por basura y lodos
Obstrucción de plantas potabilizadoras por basura y lodos,Sistemas de tandeo y escasez de agua
Fallas en el suministro de energía eléctrica,Sistemas de tandeo y escasez de agua
Disminución de fuentes de abastecimiento externas,Sistemas de tandeo y escasez de agua
Disminución del gasto de los manantiales,Sistemas de tandeo y escasez de agua
Sistemas de tandeo y escasez de agua,Entrega gratuita de pipas
