cause,effect,frequency
Tala clandestina,Deforestación,1
Deforestación,Disminución del gasto de los manantiales,1
Urbanización y crecimiento de la mancha urbana,Pavimentación y pérdida de infiltración,1
Pavimentación y pérdida de infiltración,Capacidad de recarga de acuíferos,1
Capacidad de recarga de acuíferos,Disminución del gasto de los manantiales,1
Fugas por tuberías obsoletas,Desperdicio de agua,1
Sustitución de tuberías,Fugas por tuberías obsoletas,1
Conflictos sociales y desconfianza vecinal,Sustitución de tuberías,1
Lluvias y arrastre de basura,Obstrucción de plantas potabilizadoras por basura y lodos,1
Obstrucción de plantas potabilizadoras por basura y lodos,Sistemas de tandeo y escasez de agua,1
Fallas en el suministro de energía eléctrica,Sistemas de tandeo y escasez de agua,1
Disminución de fuentes de abastecimiento externas,Sistemas de tandeo y escasez de agua,1
Disminución del gasto de los manantiales,Sistemas de tandeo y escasez de agua,1
Sistemas de tandeo y escasez de agua,Entrega gratuita de pipas,1
