Id_entrevista,archivo,palabras,caracteres,tokens_transcripcion,tokens_entrada_total,pct_contexto_gpt-4o,costo_usd_gpt-4o,pct_contexto_gpt-4o-mini,costo_usd_gpt-4o-mini,pct_contexto_gpt-4.1,costo_usd_gpt-4.1,pct_contexto_gpt-4.1-mini,costo_usd_gpt-4.1-mini,pct_contexto_gpt-4.1-nano,costo_usd_gpt-4.1-nano
DF012015_GOB,DF012015_GOB__T-DF012015_GOV.docx,2398,13423,3464,4568,3.6,0.0214,3.6,0.0013,0.4,0.0171,0.4,0.0034,0.4,0.0009
DF012815_ACA,DF012815_ACA__T-DF012815_ACA.docx,6584,37237,8956,10060,7.9,0.0352,7.9,0.0021,1.0,0.0281,1.0,0.0056,1.0,0.0014
DF013015_ACA,DF013015_ACA__T-DF013015_ACA.docx,12482,68827,17496,18600,14.5,0.0565,14.5,0.0034,1.8,0.0452,1.8,0.009,1.8,0.0023
DF020415_ACA,DF020415_ACA__T-DF020415_ACA.docx,4492,26755,5992,7096,5.5,0.0277,5.5,0.0017,0.7,0.0222,0.7,0.0044,0.7,0.0011
DF021215_ACA,DF021215_ACA__T-DF021215_ACA.docx,6961,40296,9029,10133,7.9,0.0353,7.9,0.0021,1.0,0.0283,1.0,0.0057,1.0,0.0014
DF021815_ACA,DF021815_ACA__T-DF021815_ACA.docx,9803,54197,13216,14320,11.2,0.0458,11.2,0.0027,1.4,0.0366,1.4,0.0073,1.4,0.0018
DF022515_ACA,DF022515_ACA__T-DF022515_ACA.docx,326,1843,445,1549,1.2,0.0139,1.2,0.0008,0.1,0.0111,0.1,0.0022,0.1,0.0006
DF022615_ACA,DF022615_ACA__T-DF022615_ACA.docx,9329,52864,12569,13673,10.7,0.0442,10.7,0.0027,1.3,0.0353,1.3,0.0071,1.3,0.0018
DF031215_ACA,DF031215_ACA__T-DF031215_ACA.docx,8875,51455,11590,12694,9.9,0.0417,9.9,0.0025,1.2,0.0334,1.2,0.0067,1.2,0.0017
DF042115_GOB,DF042115_GOB__T-DF042115_GOV.docx,7087,40586,9181,10285,8.0,0.0357,8.0,0.0021,1.0,0.0286,1.0,0.0057,1.0,0.0014
DF042215_GOB,DF042215_GOB__T-DF042215_GOV.docx,10782,62659,14360,15464,12.1,0.0487,12.1,0.0029,1.5,0.0389,1.5,0.0078,1.5,0.0019
DF042415_GOB,DF042415_GOB__T-DF042415_GOB.docx,9331,52217,11981,13085,10.2,0.0427,10.2,0.0026,1.2,0.0342,1.2,0.0068,1.2,0.0017
DF111814_GOB,DF111814_GOB__T-DF111814_GOV.docx,10037,59762,13656,14760,11.5,0.0469,11.5,0.0028,1.4,0.0375,1.4,0.0075,1.4,0.0019
I021415_OTR,I021415_OTR__T-I021415_OTR.docx,6391,35374,8425,9529,7.4,0.0338,7.4,0.002,0.9,0.0271,0.9,0.0054,0.9,0.0014
I032615_OTR,I032615_OTR__T-I032615_OTR.docx,9007,52515,11797,12901,10.1,0.0423,10.1,0.0025,1.2,0.0338,1.2,0.0068,1.2,0.0017
I032615_OTR_1RA_PARTE,I032615_OTR__T-I032615_otr1RA PARTE.docx,9414,54342,12598,13702,10.7,0.0443,10.7,0.0027,1.3,0.0354,1.3,0.0071,1.3,0.0018
MC031915_OTR,MC031915_OTR__T-MC031915_otr.docx,6390,35887,8812,9916,7.7,0.0348,7.7,0.0021,0.9,0.0278,0.9,0.0056,0.9,0.0014
MC032415_GOB,MC032415_GOB__T-MC032415_GOV.docx,8375,48001,11145,12249,9.6,0.0406,9.6,0.0024,1.2,0.0325,1.2,0.0065,1.2,0.0016
MC032515_GOB,MC032515_GOB__T-MC032515_GOV.docx,6623,37674,8457,9561,7.5,0.0339,7.5,0.002,0.9,0.0271,0.9,0.0054,0.9,0.0014
X011915_GOB,X011915_GOB__T-X011915_GOV.docx,15690,87279,23709,24813,19.4,0.072,19.4,0.0043,2.4,0.0576,2.4,0.0115,2.4,0.0029
X022415_ACA,X022415_ACA__T-X022415_ACA.docx,14118,80960,19198,20302,15.9,0.0608,15.9,0.0036,1.9,0.0486,1.9,0.0097,1.9,0.0024
X022415_GOB,X022415_GOB__T-X022415_GOB.docx,8978,51448,11500,12604,9.8,0.0415,9.8,0.0025,1.2,0.0332,1.2,0.0066,1.2,0.0017
X042315_GOB,X042315_GOB__T-X042315_GOB.docx,10155,57592,13076,14180,11.1,0.0455,11.1,0.0027,1.4,0.0364,1.4,0.0073,1.4,0.0018
