interview_id,sector,delegation,activity,variable
DF012015_GOB,Gobierno,Ciudad de México (gobierno),int,Infraestructura hidráulica
DF012015_GOB,Gobierno,Ciudad de México (gobierno),int,Presupuesto para infraestructura
DF012015_GOB,Gobierno,Ciudad de México (gobierno),int,Proyectos de desarrollo urbano
DF012015_GOB,Gobierno,Ciudad de México (gobierno),int,Abastecimiento de agua
DF012015_GOB,Gobierno,Ciudad de México (gobierno),int,riesgo de inundación
DF012015_GOB,Gobierno,Ciudad de México (gobierno),int,Calidad del agua
DF012015_GOB,Gobierno,Ciudad de México (gobierno),int,Programas sociales de vivienda
DF012015_GOB,Gobierno,Ciudad de México (gobierno),int,Costo de la vivienda y servicios
DF012015_GOB,Gobierno,Ciudad de México (gobierno),int,Disponibilidad de agua y lluvias
DF012015_GOB,Gobierno,Ciudad de México (gobierno),int,Uso de pipas de agua
DF012015_GOB,Gobierno,Ciudad de México (gobierno),int,Inversión de la iniciativa privada
DF012015_GOB,Gobierno,Ciudad de México (gobierno),int,Rehabilitación de redes y fugas
DF012015_GOB,Gobierno,Ciudad de México (gobierno),int,Plantas potabilizadoras
DF012815_ACA,Académico,Ciudad de México (gobierno),int,Crecimiento de la ciudad
DF012815_ACA,Académico,Ciudad de México (gobierno),int,Asentamientos informales
DF012815_ACA,Académico,Ciudad de México (gobierno),int,Suelo de conservación
DF012815_ACA,Académico,Ciudad de México (gobierno),int,Control político y clientelismo
DF012815_ACA,Académico,Ciudad de México (gobierno),int,Extracción y sobreexplotación de mantos acuíferos
DF012815_ACA,Académico,Ciudad de México (gobierno),int,Pérdidas en la red hidráulica
DF012815_ACA,Académico,Ciudad de México (gobierno),int,Déficit de dotación y tandeo
DF012815_ACA,Académico,Ciudad de México (gobierno),int,Inversión privada y concesiones
DF012815_ACA,Académico,Ciudad de México (gobierno),int,Corrupción y decisiones políticas
DF012815_ACA,Académico,Ciudad de México (gobierno),int,Falta de información y opacidad estadística
DF012815_ACA,Académico,Ciudad de México (gobierno),int,Inadecuada planeación urbana
DF013015_ACA,Académico,Ciudad de México (gobierno),int,Abastecimiento de agua
DF013015_ACA,Académico,Ciudad de México (gobierno),int,Falta de coordinación institucional
DF013015_ACA,Académico,Ciudad de México (gobierno),int,Precios altos del agua para la gente pobre
DF013015_ACA,Académico,Ciudad de México (gobierno),int,Producción social de vivienda
DF013015_ACA,Académico,Ciudad de México (gobierno),int,Vivienda informal y autogestionada
DF013015_ACA,Académico,Ciudad de México (gobierno),int,Corrupción en permisos de construcción
